area,prov,dist,sex,area_name,sexname,rowtotal,a_india,b_saarc,c_asean,d_midleast,e_othrasian,f_eucntry,g_othreuropn,h_northamericn,i_southamericn,j_african,k_pacific,l_other,m_notstd
40,3,0,2,"Bagmati","Female",40119,35614,474,1085,296,1611,181,274,277,25,34,140,79,29
40,4,0,0,"Gandaki","Total",42015,39070,197,967,253,1160,93,149,46,6,11,46,9,8
40,4,0,1,"Gandaki","Male",22341,20663,83,490,165,725,50,87,28,2,10,25,7,6
40,4,0,2,"Gandaki","Female",19674,18407,114,477,88,435,43,62,18,4,1,21,2,2
40,5,0,0,"Lumbini","Total",187177,184637,261,1397,290,392,27,64,14,6,9,33,16,31
40,5,0,1,"Lumbini","Male",38872,37632,51,699,203,205,14,27,8,3,4,15,3,8
40,5,0,2,"Lumbini","Female",148305,147005,210,698,87,187,13,37,6,3,5,18,13,23
40,6,0,0,"Karnali","Total",5441,5297,16,55,28,23,1,5,13,0,0,1,1,1
40,6,0,1,"Karnali","Male",2873,2770,7,48,25,12,0,2,7,0,0,0,1,1
40,6,0,2,"Karnali","Female",2568,2527,9,7,3,11,1,3,6,0,0,1,0,0
40,7,0,0,"Sudur Paschim","Total",29539,29258,74,145,21,15,4,1,9,1,1,4,2,4
40,7,0,1,"Sudur Paschim","Male",12350,12207,37,76,13,5,1,1,4,1,0,2,2,1
40,7,0,2,"Sudur Paschim","Female",17189,17051,37,69,8,10,3,0,5,0,1,2,0,3
50,1,1,0,"Taplejung","Total",653,585,2,23,5,36,1,1,0,0,0,0,0,0
50,1,1,1,"Taplejung","Male",334,294,0,16,4,20,0,0,0,0,0,0,0,0
50,1,1,2,"Taplejung","Female",319,291,2,7,1,16,1,1,0,0,0,0,0,0
50,1,2,0,"Sankhuwasabha","Total",2332,2278,16,17,6,12,0,1,1,0,0,0,0,1
50,1,2,1,"Sankhuwasabha","Male",1857,1824,6,12,6,8,0,1,0,0,0,0,0,0
50,1,2,2,"Sankhuwasabha","Female",475,454,10,5,0,4,0,0,1,0,0,0,0,1
50,1,3,0,"Solukhumbu","Total",170,92,13,8,6,41,7,2,1,0,0,0,0,0
50,1,3,1,"Solukhumbu","Male",76,45,6,4,4,14,3,0,0,0,0,0,0,0
50,1,3,2,"Solukhumbu","Female",94,47,7,4,2,27,4,2,1,0,0,0,0,0
50,1,4,0,"Okhaldhunga","Total",166,156,2,2,0,4,0,0,0,0,0,2,0,0
50,1,4,1,"Okhaldhunga","Male",74,68,0,2,0,3,0,0,0,0,0,1,0,0
50,1,4,2,"Okhaldhunga","Female",92,88,2,0,0,1,0,0,0,0,0,1,0,0
50,1,5,0,"Khotang","Total",230,182,3,16,14,13,0,2,0,0,0,0,0,0
50,1,5,1,"Khotang","Male",107,75,0,11,14,7,0,0,0,0,0,0,0,0
50,1,5,2,"Khotang","Female",123,107,3,5,0,6,0,2,0,0,0,0,0,0
50,1,6,0,"Bhojpur","Total",478,440,7,8,7,10,0,2,4,0,0,0,0,0
50,1,6,1,"Bhojpur","Male",172,150,2,3,7,5,0,2,3,0,0,0,0,0
50,1,6,2,"Bhojpur","Female",306,290,5,5,0,5,0,0,1,0,0,0,0,0
50,1,7,0,"Dhankuta","Total",981,693,4,140,133,6,0,2,1,1,1,0,0,0
50,1,7,1,"Dhankuta","Male",562,300,0,123,129,6,0,1,1,1,1,0,0,0
50,1,7,2,"Dhankuta","Female",419,393,4,17,4,0,0,1,0,0,0,0,0,0
