area,prov,dist,sex,area_name,sexname,rowtotal,a_physical,b_lowvision,c_blind,d_deaf,e_hardhear,f_deafblind,g_speech,h_mental,i_intellect,j_hemophilia,k_autism,l_multiple,m_nodisabl,n_notstd
50,6,64,1,"Dailekh","Male",120774,2169,570,203,332,249,95,298,87,38,12,18,291,116395,17
50,6,64,2,"Dailekh","Female",131539,1572,616,196,301,252,82,177,75,27,11,19,270,127926,15
50,6,65,0,"Jajarkot","Both Sexes",189360,4948,1251,372,719,528,170,484,179,70,42,22,578,179976,21
50,6,65,1,"Jajarkot","Male",94063,2980,627,170,397,284,93,304,96,36,22,10,294,88737,13
50,6,65,2,"Jajarkot","Female",95297,1968,624,202,322,244,77,180,83,34,20,12,284,91239,8
50,6,66,0,"Rukum (West)","Both Sexes",166740,1831,561,210,426,348,58,305,108,44,9,26,290,162493,31
50,6,66,1,"Rukum (West)","Male",81091,1092,268,106,248,178,30,174,57,21,4,12,149,78735,17
50,6,66,2,"Rukum (West)","Female",85649,739,293,104,178,170,28,131,51,23,5,14,141,83758,14
50,6,67,0,"Salyan","Both Sexes",238515,2617,1010,265,679,630,104,591,226,97,31,39,583,231625,18
50,6,67,1,"Salyan","Male",114982,1530,482,142,348,306,51,342,113,40,19,23,307,111265,14
50,6,67,2,"Salyan","Female",123533,1087,528,123,331,324,53,249,113,57,12,16,276,120360,4
50,6,68,0,"Surkhet","Both Sexes",415126,5245,1923,489,897,1140,151,684,541,140,39,94,880,402729,174
50,6,68,1,"Surkhet","Male",199740,3006,904,250,485,578,74,374,311,67,27,48,484,193042,90
