area,prov,dist,agegrp,area_name,agegrpname,rowtotal,a_male,b_female
50,3,26,0,"Dhading","All Ages",325710,159048,166662
50,3,26,1,"Dhading","00-04 Yrs.",24023,12531,11492
50,3,26,2,"Dhading","05-09 Yrs.",27548,14126,13422
50,3,26,3,"Dhading","10-14 Yrs.",31024,15777,15247
50,3,26,4,"Dhading","15-19 Yrs.",31856,15687,16169
50,3,26,5,"Dhading","20-24 Yrs.",28819,13561,15258
50,3,26,6,"Dhading","25-29 Yrs.",26558,12637,13921
50,3,26,7,"Dhading","30-34 Yrs.",22215,10400,11815
50,3,26,8,"Dhading","35-39 Yrs.",21800,10259,11541
50,3,26,9,"Dhading","40-44 Yrs.",18931,8857,10074
50,3,26,10,"Dhading","45-49 Yrs.",15687,7238,8449
50,3,26,11,"Dhading","50-54 Yrs.",17661,8543,9118
50,3,26,12,"Dhading","55-59 Yrs.",14015,6910,7105
50,3,26,13,"Dhading","60-64 Yrs.",13683,6787,6896
50,3,26,14,"Dhading","65-69 Yrs.",10984,5486,5498
50,3,26,15,"Dhading","70-74 Yrs.",8720,4211,4509
50,3,26,16,"Dhading","75-79 Yrs.",6180,3062,3118
50,3,26,17,"Dhading","80-84 Yrs.",3121,1595,1526
50,3,26,18,"Dhading","85-89 Yrs.",1786,874,912
50,3,26,19,"Dhading","90-94 Yrs.",728,349,379
50,3,26,20,"Dhading","95+ Yrs.",371,158,213
50,3,27,0,"Nuwakot","All Ages",263391,128998,134393
50,3,27,1,"Nuwakot","00-04 Yrs.",19008,9936,9072
50,3,27,2,"Nuwakot","05-09 Yrs.",21675,10969,10706
50,3,27,3,"Nuwakot","10-14 Yrs.",23677,11840,11837
50,3,27,4,"Nuwakot","15-19 Yrs.",23900,11717,12183
50,3,27,5,"Nuwakot","20-24 Yrs.",22973,11167,11806
50,3,27,6,"Nuwakot","25-29 Yrs.",21000,9894,11106
50,3,27,7,"Nuwakot","30-34 Yrs.",18565,8857,9708
50,3,27,8,"Nuwakot","35-39 Yrs.",17947,8621,9326
50,3,27,9,"Nuwakot","40-44 Yrs.",16219,7655,8564
50,3,27,10,"Nuwakot","45-49 Yrs.",13793,6485,7308
50,3,27,11,"Nuwakot","50-54 Yrs.",15183,7396,7787
50,3,27,12,"Nuwakot","55-59 Yrs.",11873,5866,6007
50,3,27,13,"Nuwakot","60-64 Yrs.",11835,5982,5853
50,3,27,14,"Nuwakot","65-69 Yrs.",9064,4610,4454
50,3,27,15,"Nuwakot","70-74 Yrs.",7295,3518,3777
50,3,27,16,"Nuwakot","75-79 Yrs.",4878,2353,2525
50,3,27,17,"Nuwakot","80-84 Yrs.",2455,1174,1281
50,3,27,18,"Nuwakot","85-89 Yrs.",1327,640,687
50,3,27,19,"Nuwakot","90-94 Yrs.",503,227,276
50,3,27,20,"Nuwakot","95+ Yrs.",221,91,130
50,3,28,0,"Kathmandu","All Ages",2041587,1035726,1005861
50,3,28,1,"Kathmandu","00-04 Yrs.",115413,62088,53325
50,3,28,2,"Kathmandu","05-09 Yrs.",138112,75286,62826
50,3,28,3,"Kathmandu","10-14 Yrs.",148419,80326,68093
50,3,28,4,"Kathmandu","15-19 Yrs.",197027,105984,91043
50,3,28,5,"Kathmandu","20-24 Yrs.",226660,114788,111872
50,3,28,6,"Kathmandu","25-29 Yrs.",215120,104411,110709
50,3,28,7,"Kathmandu","30-34 Yrs.",195859,93815,102044
50,3,28,8,"Kathmandu","35-39 Yrs.",177738,86685,91053
50,3,28,9,"Kathmandu","40-44 Yrs.",154111,76587,77524
50,3,28,10,"Kathmandu","45-49 Yrs.",118110,59999,58111
50,3,28,11,"Kathmandu","50-54 Yrs.",107441,55738,51703
50,3,28,12,"Kathmandu","55-59 Yrs.",73520,37953,35567
50,3,28,13,"Kathmandu","60-64 Yrs.",58646,29096,29550
50,3,28,14,"Kathmandu","65-69 Yrs.",42720,20898,21822
50,3,28,15,"Kathmandu","70-74 Yrs.",30674,14202,16472
50,3,28,16,"Kathmandu","75-79 Yrs.",20957,9132,11825
50,3,28,17,"Kathmandu","80-84 Yrs.",11278,4833,6445
50,3,28,18,"Kathmandu","85-89 Yrs.",6342,2583,3759
50,3,28,19,"Kathmandu","90-94 Yrs.",2424,967,1457
50,3,28,20,"Kathmandu","95+ Yrs.",1016,355,661
50,3,29,0,"Bhaktapur","All Ages",432132,218418,213714
50,3,29,1,"Bhaktapur","00-04 Yrs.",28007,15067,12940
50,3,29,2,"Bhaktapur","05-09 Yrs.",30180,16527,13653
50,3,29,3,"Bhaktapur","10-14 Yrs.",31122,16744,14378
50,3,29,4,"Bhaktapur","15-19 Yrs.",37156,19775,17381
50,3,29,5,"Bhaktapur","20-24 Yrs.",43372,22091,21281
50,3,29,6,"Bhaktapur","25-29 Yrs.",44335,21519,22816
50,3,29,7,"Bhaktapur","30-34 Yrs.",41770,20198,21572
50,3,29,8,"Bhaktapur","35-39 Yrs.",38176,18825,19351
50,3,29,9,"Bhaktapur","40-44 Yrs.",33218,16297,16921
50,3,29,10,"Bhaktapur","45-49 Yrs.",26184,13121,13063
50,3,29,11,"Bhaktapur","50-54 Yrs.",23972,12262,11710
50,3,29,12,"Bhaktapur","55-59 Yrs.",16494,8318,8176
50,3,29,13,"Bhaktapur","60-64 Yrs.",12669,6154,6515
50,3,29,14,"Bhaktapur","65-69 Yrs.",9435,4495,4940
50,3,29,15,"Bhaktapur","70-74 Yrs.",6554,2920,3634
50,3,29,16,"Bhaktapur","75-79 Yrs.",4936,2172,2764
50,3,29,17,"Bhaktapur","80-84 Yrs.",2457,1084,1373
50,3,29,18,"Bhaktapur","85-89 Yrs.",1429,596,833
50,3,29,19,"Bhaktapur","90-94 Yrs.",482,188,294
50,3,29,20,"Bhaktapur","95+ Yrs.",184,65,119
50,3,30,0,"Lalitpur","All Ages",551667,277131,274536
50,3,30,1,"Lalitpur","00-04 Yrs.",30402,16265,14137
50,3,30,2,"Lalitpur","05-09 Yrs.",36091,19221,16870
50,3,30,3,"Lalitpur","10-14 Yrs.",39917,21161,18756
50,3,30,4,"Lalitpur","15-19 Yrs.",49017,25718,23299
50,3,30,5,"Lalitpur","20-24 Yrs.",55426,28268,27158
50,3,30,6,"Lalitpur","25-29 Yrs.",52999,25829,27170
50,3,30,7,"Lalitpur","30-34 Yrs.",50048,24305,25743
50,3,30,8,"Lalitpur","35-39 Yrs.",47121,22436,24685
50,3,30,9,"Lalitpur","40-44 Yrs.",43961,21560,22401
50,3,30,10,"Lalitpur","45-49 Yrs.",35106,17605,17501
50,3,30,11,"Lalitpur","50-54 Yrs.",32707,16827,15880
50,3,30,12,"Lalitpur","55-59 Yrs.",22721,11554,11167
50,3,30,13,"Lalitpur","60-64 Yrs.",18521,9092,9429
50,3,30,14,"Lalitpur","65-69 Yrs.",13766,6656,7110
50,3,30,15,"Lalitpur","70-74 Yrs.",9994,4646,5348
50,3,30,16,"Lalitpur","75-79 Yrs.",7007,3072,3935
50,3,30,17,"Lalitpur","80-84 Yrs.",3701,1620,2081
50,3,30,18,"Lalitpur","85-89 Yrs.",2054,859,1195
50,3,30,19,"Lalitpur","90-94 Yrs.",726,299,427
50,3,30,20,"Lalitpur","95+ Yrs.",382,138,244
50,3,31,0,"Kavrepalanchok","All Ages",364039,178909,185130
50,3,31,1,"Kavrepalanchok","00-04 Yrs.",24599,13042,11557
50,3,31,2,"Kavrepalanchok","05-09 Yrs.",27279,14270,13009
50,3,31,3,"Kavrepalanchok","10-14 Yrs.",30070,15251,14819
50,3,31,4,"Kavrepalanchok","15-19 Yrs.",33162,16412,16750
50,3,31,5,"Kavrepalanchok","20-24 Yrs.",31811,15246,16565
50,3,31,6,"Kavrepalanchok","25-29 Yrs.",30844,14881,15963
50,3,31,7,"Kavrepalanchok","30-34 Yrs.",28520,14220,14300
50,3,31,8,"Kavrepalanchok","35-39 Yrs.",27554,13778,13776
50,3,31,9,"Kavrepalanchok","40-44 Yrs.",24329,11597,12732
50,3,31,10,"Kavrepalanchok","45-49 Yrs.",20924,9820,11104
50,3,31,11,"Kavrepalanchok","50-54 Yrs.",21922,10507,11415
50,3,31,12,"Kavrepalanchok","55-59 Yrs.",16860,8173,8687
50,3,31,13,"Kavrepalanchok","60-64 Yrs.",15342,7345,7997
50,3,31,14,"Kavrepalanchok","65-69 Yrs.",11168,5345,5823
50,3,31,15,"Kavrepalanchok","70-74 Yrs.",8556,3966,4590
50,3,31,16,"Kavrepalanchok","75-79 Yrs.",5879,2697,3182
50,3,31,17,"Kavrepalanchok","80-84 Yrs.",2940,1373,1567
50,3,31,18,"Kavrepalanchok","85-89 Yrs.",1522,686,836
50,3,31,19,"Kavrepalanchok","90-94 Yrs.",485,199,286
50,3,31,20,"Kavrepalanchok","95+ Yrs.",273,101,172
50,3,32,0,"Ramechhap","All Ages",170302,80824,89478
50,3,32,1,"Ramechhap","00-04 Yrs.",11028,5670,5358
50,3,32,2,"Ramechhap","05-09 Yrs.",12845,6457,6388
50,3,32,3,"Ramechhap","10-14 Yrs.",16022,7842,8180
50,3,32,4,"Ramechhap","15-19 Yrs.",16704,8084,8620
50,3,32,5,"Ramechhap","20-24 Yrs.",14005,6470,7535
50,3,32,6,"Ramechhap","25-29 Yrs.",11960,5740,6220
50,3,32,7,"Ramechhap","30-34 Yrs.",10448,5024,5424
50,3,32,8,"Ramechhap","35-39 Yrs.",10032,4553,5479
50,3,32,9,"Ramechhap","40-44 Yrs.",9429,4286,5143
50,3,32,10,"Ramechhap","45-49 Yrs.",9157,4088,5069
50,3,32,11,"Ramechhap","50-54 Yrs.",10850,4963,5887
50,3,32,12,"Ramechhap","55-59 Yrs.",9004,4299,4705
50,3,32,13,"Ramechhap","60-64 Yrs.",8743,4245,4498
50,3,32,14,"Ramechhap","65-69 Yrs.",7042,3340,3702
50,3,32,15,"Ramechhap","70-74 Yrs.",5555,2482,3073
50,3,32,16,"Ramechhap","75-79 Yrs.",3829,1739,2090
50,3,32,17,"Ramechhap","80-84 Yrs.",2007,865,1142
50,3,32,18,"Ramechhap","85-89 Yrs.",1111,464,647
50,3,32,19,"Ramechhap","90-94 Yrs.",344,147,197
50,3,32,20,"Ramechhap","95+ Yrs.",187,66,121
50,3,33,0,"Sindhuli","All Ages",300026,147065,152961
50,3,33,1,"Sindhuli","00-04 Yrs.",24127,12453,11674
50,3,33,2,"Sindhuli","05-09 Yrs.",27370,13859,13511
50,3,33,3,"Sindhuli","10-14 Yrs.",31847,16023,15824
50,3,33,4,"Sindhuli","15-19 Yrs.",33738,16618,17120
50,3,33,5,"Sindhuli","20-24 Yrs.",29132,14106,15026
50,3,33,6,"Sindhuli","25-29 Yrs.",23814,11347,12467
50,3,33,7,"Sindhuli","30-34 Yrs.",20157,9647,10510
50,3,33,8,"Sindhuli","35-39 Yrs.",19345,9165,10180
50,3,33,9,"Sindhuli","40-44 Yrs.",16613,7739,8874
50,3,33,10,"Sindhuli","45-49 Yrs.",14778,7185,7593
50,3,33,11,"Sindhuli","50-54 Yrs.",15696,7853,7843
50,3,33,12,"Sindhuli","55-59 Yrs.",11675,5780,5895
50,3,33,13,"Sindhuli","60-64 Yrs.",10146,4996,5150
50,3,33,14,"Sindhuli","65-69 Yrs.",8114,3925,4189
50,3,33,15,"Sindhuli","70-74 Yrs.",6078,2899,3179
50,3,33,16,"Sindhuli","75-79 Yrs.",4072,1946,2126
50,3,33,17,"Sindhuli","80-84 Yrs.",1692,819,873
50,3,33,18,"Sindhuli","85-89 Yrs.",1126,518,608
50,3,33,19,"Sindhuli","90-94 Yrs.",330,130,200
50,3,33,20,"Sindhuli","95+ Yrs.",176,57,119
50,3,34,0,"Makwanpur","All Ages",466073,233816,232257
50,3,34,1,"Makwanpur","00-04 Yrs.",36659,19058,17601
50,3,34,2,"Makwanpur","05-09 Yrs.",40138,20747,19391
