sex,agegrp,sexname,agegrpname,total,urban,rural,mountain,hill,tarai,province1,madhesh,bagmati,gandaki,lumbini,karnali,sudurpaschim
1,31,"Male","31 Year",144654,101624,43030,8985,70075,65594,27064,16833,41789,14243,24864,7922,11939
1,32,"Male","32 Year",206137,141976,64161,11996,85911,108230,34528,39822,51039,16171,36126,10862,17589
1,33,"Male","33 Year",176264,123075,53189,11114,82669,82481,34386,23929,48785,15704,29060,9883,14517
1,34,"Male","34 Year",163596,115193,48403,9804,76117,77675,30333,22406,45333,15203,27794,8986,13541
1,35,"Male","35 Year",280538,190755,89783,14673,91530,174335,42640,82763,55424,17056,47295,12618,22742
1,36,"Male","36 Year",178760,125676,53084,10964,79247,88549,32037,28769,47826,15345,30243,9676,14864
1,37,"Male","37 Year",141832,100626,41206,8360,65175,68297,27655,19406,39559,13364,23839,7145,10864
1,38,"Male","38 Year",200207,139211,60996,11606,82869,105732,34318,37365,49741,15742,34708,10598,17735
1,39,"Male","39 Year",135594,96027,39567,7535,63739,64320,27566,16157,38332,13217,23355,6565,10402
1,40,"Male","40 Year",294351,200613,93738,15049,95105,184197,43963,89022,58281,17531,48251,13208,24095
1,41,"Male","41 Year",114250,81226,33024,6607,53900,53743,23118,13055,33206,11252,19317,5601,8701
1,42,"Male","42 Year",175424,122894,52530,9547,72796,93081,32013,31338,44729,14337,30363,8546,14098
1,43,"Male","43 Year",131071,91989,39082,7657,61651,61763,26536,16108,36746,12486,21465,6882,10848
1,44,"Male","44 Year",113397,80641,32756,6453,53967,52977,24197,12967,32413,11282,18288,5454,8796
1,45,"Male","45 Year",226847,153169,73678,11595,71336,143916,34418,68642,43088,13960,37615,10245,18879
1,46,"Male","46 Year",124940,86835,38105,7551,58458,58931,24728,16230,33626,12197,20677,7133,10349
1,47,"Male","47 Year",95430,66764,28666,5571,45707,44152,19299,12304,27032,9606,15613,4855,6721
1,48,"Male","48 Year",141180,95668,45512,9192,60944,71044,25566,25239,35637,12198,23071,7753,11716
1,49,"Male","49 Year",99127,68756,30371,5886,48776,44465,20876,11344,28365,10607,16002,4944,6989
1,50,"Male","50 Year",241544,160839,80705,13479,84943,143122,38163,68015,49255,16606,37338,11773,20394
1,51,"Male","51 Year",101180,68945,32235,6204,48669,46307,21380,11927,27455,10992,16769,4863,7794
1,52,"Male","52 Year",135091,90659,44432,8314,60074,66703,25856,22536,33938,12624,22237,6806,11094
1,53,"Male","53 Year",110873,73861,37012,7234,53306,50333,23261,13798,29691,11569,18269,5623,8662
1,54,"Male","54 Year",103806,69260,34546,6492,50516,46798,21769,12701,28165,11173,17146,5029,7823
1,55,"Male","55 Year",170720,111251,59469,9329,56579,104812,26890,50453,31593,11862,28328,7579,14015
1,56,"Male","56 Year",106193,69645,36548,6938,49091,50164,21943,15537,26566,10967,17268,5373,8539
1,57,"Male","57 Year",78684,51484,27200,5059,37498,36127,16495,10607,19660,8783,13141,3993,6005
1,58,"Male","58 Year",106457,68405,38052,7455,48735,50267,20544,17070,25447,10914,17506,6020,8956
1,59,"Male","59 Year",75504,48865,26639,5529,38368,31607,16586,7905,19936,9200,12248,4129,5500
1,60,"Male","60 Year",174137,111582,62555,10490,62675,100972,28319,48907,33763,13584,27698,7967,13899
1,61,"Male","61 Year",68970,44404,24566,5053,34553,29364,15252,7656,17449,8677,11205,3714,5017
1,62,"Male","62 Year",87610,55745,31865,6178,39585,41847,18137,14223,19787,9140,14859,4550,6914
1,63,"Male","63 Year",71064,45248,25816,5162,34465,31437,14929,9161,17352,8568,11649,3751,5654
1,64,"Male","64 Year",64181,40749,23432,4388,32475,27318,13578,7399,16310,7898,10760,3448,4788
1,65,"Male","65 Year",120479,76479,44000,6823,39386,74270,18630,37983,20570,9170,19677,5141,9308
1,66,"Male","66 Year",65222,41403,23819,4503,31161,29558,13866,9270,15306,7785,10843,3211,4941
1,67,"Male","67 Year",58086,36621,21465,3837,28741,25508,11847,7371,14558,7339,9954,2705,4312
1,68,"Male","68 Year",77257,48289,28968,5221,31487,40549,14394,16289,15669,7650,12994,3585,6676
1,69,"Male","69 Year",58645,36234,22411,3895,25179,29571,12274,10060,12715,6374,10116,2554,4552
1,70,"Male","70 Year",104076,65680,38396,6076,32236,65764,15662,33551,16057,7844,17506,4505,8951
1,71,"Male","71 Year",49781,31329,18452,3393,23015,23373,10090,7575,11137,5766,8497,2513,4203
1,72,"Male","72 Year",58484,35944,22540,3623,23806,31055,10455,12883,11519,6119,10191,2566,4751
1,73,"Male","73 Year",42721,26431,16290,3020,19271,20430,8588,6911,9161,4890,7171,2076,3924
1,74,"Male","74 Year",36992,22838,14154,2663,17099,17230,7714,5217,8372,4478,6404,1692,3115
1,75,"Male","75 Year",57240,35379,21861,3184,18322,35734,8599,18557,9385,4603,9555,1847,4694
1,76,"Male","76 Year",33985,21353,12632,2380,16244,15361,6315,4911,8477,4101,5529,1524,3128
1,77,"Male","77 Year",32970,20365,12605,2364,17493,13113,7224,3163,8963,4423,5210,1481,2506
1,78,"Male","78 Year",30739,19130,11609,2047,13937,14755,5352,5342,6843,3626,5315,1358,2903
1,79,"Male","79 Year",16064,10056,6008,1120,8772,6172,3990,1137,4349,2463,2514,580,1031
1,80,"Male","80 Year",29104,18058,11046,1789,11031,16284,4815,7566,5652,2962,4768,950,2391
1,81,"Male","81 Year",12778,8084,4694,918,7113,4747,3019,880,3493,2071,2011,449,855
1,82,"Male","82 Year",14046,8910,5136,1025,7560,5461,3078,1298,3871,2190,2185,439,985
1,83,"Male","83 Year",11740,7327,4413,860,6804,4076,2737,757,3241,2096,1700,409,800
1,84,"Male","84 Year",10647,6815,3832,881,5944,3822,2434,635,3296,1725,1480,358,719
1,85,"Male","85 Year",11959,7604,4355,702,4891,6366,2277,2673,2723,1345,1831,295,815
1,86,"Male","86 Year",7253,4764,2489,489,3926,2838,1675,611,2195,1082,1024,207,459
1,87,"Male","87 Year",5739,3679,2060,410,3312,2017,1391,363,1832,895,787,162,309
1,88,"Male","88 Year",7967,5203,2764,525,4461,2981,1807,690,2618,1159,971,217,505
1,89,"Male","89 Year",3249,2126,1123,216,1846,1187,692,207,1063,490,498,92,207
1,90,"Male","90 Year",5789,3714,2075,277,2176,3336,935,1461,1323,608,910,112,440
1,91,"Male","91 Year",2168,1422,746,118,1279,771,511,120,660,374,332,52,119
1,92,"Male","92 Year",2151,1386,765,119,1184,848,453,183,656,370,299,59,131
1,93,"Male","93 Year",1802,1167,635,117,1046,639,389,128,585,333,230,33,104
1,94,"Male","94 Year",1281,858,423,85,703,493,299,79,378,222,196,27,80
1,95,"Male","95 Year",1870,1171,699,87,592,1191,287,563,369,191,301,30,129
1,96,"Male","96 Year",920,616,304,59,458,403,180,112,252,161,128,27,60
1,97,"Male","97 Year",616,404,212,39,312,265,95,75,190,105,97,16,38
1,98,"Male","98 Year",1008,601,407,70,483,455,170,158,254,170,155,34,67
1,99,"Male","99 Year",646,397,249,40,348,258,67,86,157,165,94,43,34
1,100,"Male","100 Year and above",2471,1511,960,58,520,1893,269,1073,307,149,470,44,159
2,-1,"Female","All Ages",14911027,9842243,5068784,898688,6040377,7971962,2544084,3048849,3068182,1295594,2667670,864651,1421997
2,0,"Female","0 Year",191842,118886,72956,13210,72924,105708,30744,43675,31897,13195,36111,14940,21280
2,1,"Female","1 Year",209981,133153,76828,12610,78577,118794,34725,50930,36731,14697,39047,14013,19838
2,2,"Female","2 Year",241294,152423,88871,15222,84779,141293,37649,66195,38642,16282,43310,16662,22554
