area,prov,dist,sex,area_name,sexname,rowtotal,a_india,b_saarc,c_asean,d_midleast,e_othrasian,f_eucntry,g_othreuropn,h_northamericn,i_southamericn,j_african,k_pacific,l_other,m_notstd
50,6,68,1,"Surkhet","Male",2840,2408,11,138,241,18,0,4,4,1,12,1,2,0
50,6,68,2,"Surkhet","Female",2051,1995,3,12,22,9,1,5,3,0,0,1,0,0
50,7,69,0,"Bajura","Both Sexes",244,231,2,6,5,0,0,0,0,0,0,0,0,0
50,7,69,1,"Bajura","Male",167,157,1,5,4,0,0,0,0,0,0,0,0,0
50,7,69,2,"Bajura","Female",77,74,1,1,1,0,0,0,0,0,0,0,0,0
50,7,70,0,"Bajhang","Both Sexes",549,522,0,17,9,1,0,0,0,0,0,0,0,0
50,7,70,1,"Bajhang","Male",335,309,0,16,9,1,0,0,0,0,0,0,0,0
50,7,70,2,"Bajhang","Female",214,213,0,1,0,0,0,0,0,0,0,0,0,0
50,7,71,0,"Darchula","Both Sexes",1066,988,20,33,23,2,0,0,0,0,0,0,0,0
50,7,71,1,"Darchula","Male",207,135,18,30,22,2,0,0,0,0,0,0,0,0
50,7,71,2,"Darchula","Female",859,853,2,3,1,0,0,0,0,0,0,0,0,0
50,7,72,0,"Baitadi","Both Sexes",946,892,1,33,18,2,0,0,0,0,0,0,0,0
50,7,72,1,"Baitadi","Male",400,347,0,33,18,2,0,0,0,0,0,0,0,0
50,7,72,2,"Baitadi","Female",546,545,1,0,0,0,0,0,0,0,0,0,0,0
50,7,73,0,"Dadeldhura","Both Sexes",1920,1770,0,82,58,4,1,0,3,0,2,0,0,0
50,7,73,1,"Dadeldhura","Male",1390,1244,0,80,58,3,1,0,2,0,2,0,0,0
50,7,73,2,"Dadeldhura","Female",530,526,0,2,0,1,0,0,1,0,0,0,0,0
50,7,74,0,"Doti","Both Sexes",2862,2817,4,25,11,3,0,1,0,0,1,0,0,0
50,7,74,1,"Doti","Male",2087,2044,3,24,11,3,0,1,0,0,1,0,0,0
50,7,74,2,"Doti","Female",775,773,1,1,0,0,0,0,0,0,0,0,0,0
50,7,75,0,"Achham","Both Sexes",7384,7323,3,15,35,5,0,0,0,0,1,0,0,2
50,7,75,1,"Achham","Male",6068,6011,2,15,32,5,0,0,0,0,1,0,0,2
50,7,75,2,"Achham","Female",1316,1312,1,0,3,0,0,0,0,0,0,0,0,0
50,7,76,0,"Kailali","Both Sexes",19555,19036,37,228,181,48,7,2,9,0,4,0,2,1
50,7,76,1,"Kailali","Male",9705,9252,22,212,166,36,4,2,5,0,3,0,2,1
50,7,76,2,"Kailali","Female",9850,9784,15,16,15,12,3,0,4,0,1,0,0,0
