area,prov,dist,chldtype,chldsex,area_name,typename,chldsexname,total,a_15to19,b_20to24,c_25to29,d_30to34,e_35to39,f_40to44,g_45to49
50,2,16,1,1,"Siraha","Children Ever Born","Male",202097,1871,20049,34577,38331,44096,33292,29881
50,2,16,1,2,"Siraha","Children Ever Born","Female",169311,1653,17414,29114,32279,37883,27156,23812
50,2,16,2,0,"Siraha","Children Still Alive","Total",362892,3451,36896,62624,69174,80089,58768,51890
50,2,16,2,1,"Siraha","Children Still Alive","Male",197145,1831,19720,33917,37481,42982,32342,28872
50,2,16,2,2,"Siraha","Children Still Alive","Female",165747,1620,17176,28707,31693,37107,26426,23018
50,2,16,3,0,"Siraha","Children Dead","Total",8516,73,567,1067,1436,1890,1680,1803
50,2,16,3,1,"Siraha","Children Dead","Male",4952,40,329,660,850,1114,950,1009
50,2,16,3,2,"Siraha","Children Dead","Female",3564,33,238,407,586,776,730,794
50,2,17,1,0,"Dhanusa","Children Ever Born","Total",449125,4572,48156,80523,83516,97952,70739,63667
50,2,17,1,1,"Dhanusa","Children Ever Born","Male",244311,2421,25784,43848,45262,52979,38528,35489
50,2,17,1,2,"Dhanusa","Children Ever Born","Female",204814,2151,22372,36675,38254,44973,32211,28178
50,2,17,2,0,"Dhanusa","Children Still Alive","Total",437266,4505,47363,79071,81675,95203,68353,61096
50,2,17,2,1,"Dhanusa","Children Still Alive","Male",237608,2380,25295,42998,44187,51416,37229,34103
50,2,17,2,2,"Dhanusa","Children Still Alive","Female",199658,2125,22068,36073,37488,43787,31124,26993
50,2,17,3,0,"Dhanusa","Children Dead","Total",11859,67,793,1452,1841,2749,2386,2571
