area,prov,dist,sex,area_name,sexname,rowtotal,a_humnty,b_mgm,c_edu,d_science,e_medicine,f_enginring,g_law,h_agri,i_forstry,j_vetnry,k_computr,l_others,m_notstd
50,5,58,0,"Bardiya","Total",40697,5434,10796,17125,1807,1453,530,233,434,173,167,252,558,1735
50,5,58,1,"Bardiya","Male",19723,2730,5808,6946,1246,573,445,160,212,97,116,183,314,893
50,5,58,2,"Bardiya","Female",20974,2704,4988,10179,561,880,85,73,222,76,51,69,244,842
50,6,59,0,"Dolpa","Total",4687,309,424,2450,177,268,178,25,144,29,59,62,184,378
50,6,59,1,"Dolpa","Male",2924,217,288,1508,119,119,141,19,64,19,35,40,129,226
50,6,59,2,"Dolpa","Female",1763,92,136,942,58,149,37,6,80,10,24,22,55,152
50,6,60,0,"Mugu","Total",5496,328,383,3600,119,319,139,30,110,27,37,20,99,285
50,6,60,1,"Mugu","Male",3605,222,243,2358,97,152,122,23,74,19,27,15,75,178
50,6,60,2,"Mugu","Female",1891,106,140,1242,22,167,17,7,36,8,10,5,24,107
50,6,61,0,"Humla","Total",5050,489,506,2777,121,286,139,19,100,38,46,41,42,446
50,6,61,1,"Humla","Male",3366,343,344,1823,98,143,122,16,61,32,24,33,33,294
50,6,61,2,"Humla","Female",1684,146,162,954,23,143,17,3,39,6,22,8,9,152
50,6,62,0,"Jumla","Total",12249,932,1182,6361,376,839,503,67,460,154,54,57,166,1098
50,6,62,1,"Jumla","Male",7488,639,792,3721,307,395,399,50,259,104,33,39,95,655
50,6,62,2,"Jumla","Female",4761,293,390,2640,69,444,104,17,201,50,21,18,71,443
50,6,63,0,"Kalikot","Total",16941,885,1095,11475,404,760,390,87,301,47,69,132,194,1102
50,6,63,1,"Kalikot","Male",10059,568,675,6628,338,382,337,52,155,28,52,91,111,642
50,6,63,2,"Kalikot","Female",6882,317,420,4847,66,378,53,35,146,19,17,41,83,460
50,6,64,0,"Dailekh","Total",24659,1797,2215,15969,550,764,314,91,233,94,78,95,214,2245
50,6,64,1,"Dailekh","Male",13451,1067,1275,8422,420,354,244,70,106,56,53,63,114,1207
50,6,64,2,"Dailekh","Female",11208,730,940,7547,130,410,70,21,127,38,25,32,100,1038
50,6,65,0,"Jajarkot","Total",20525,1286,1244,14912,262,614,235,71,192,68,98,113,143,1287
50,6,65,1,"Jajarkot","Male",11680,775,746,8362,202,295,198,44,98,33,67,65,84,711
50,6,65,2,"Jajarkot","Female",8845,511,498,6550,60,319,37,27,94,35,31,48,59,576
50,6,66,0,"Rukum (West)","Total",21853,1253,1650,14274,723,1039,508,85,453,89,114,148,170,1347
50,6,66,1,"Rukum (West)","Male",11468,704,928,7129,525,473,409,55,212,54,67,100,98,714
50,6,66,2,"Rukum (West)","Female",10385,549,722,7145,198,566,99,30,241,35,47,48,72,633
50,6,67,0,"Salyan","Total",22097,1465,2352,14053,723,819,411,96,385,64,120,137,180,1292
